"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","dayindex","temp","max","min","dewp","slp","fog","sndp","NUM_REPORTS"
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0101712372859534,0.528248587570621,0.528301886792453,0.504289799809342,0.469268292682927,0.595563139931741,0,0,0.625282167042889
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0102999871250161,0.532956685499058,0.556603773584906,0.504289799809342,0.541463414634146,0.563139931740615,0,0,0.559819413092551
"82",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0104287369640788,0.540489642184557,0.519811320754717,0.544327931363203,0.548292682926829,0.530716723549487,0,0,0.632054176072235
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0105574868031415,0.44256120527307,0.461320754716981,0.467111534795043,0.404878048780488,0.575085324232082,0,0,0.476297968397291
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0106862366422042,0.343691148775895,0.286792452830189,0.394661582459485,0.345365853658537,0.643344709897613,0,0,0.397291196388262
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0108149864812669,0.351224105461394,0.337735849056604,0.377502383222116,0.305365853658537,0.660409556313995,0,0,0.476297968397291
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0109437363203296,0.433145009416196,0.395283018867924,0.448045757864633,0.410731707317073,0.672354948805459,0,0,0.600451467268623
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0110724861593923,0.47834274952919,0.490566037735849,0.48045757864633,0.424390243902439,0.616040955631399,0,0,0.656884875846501
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.011201235998455,0.51789077212806,0.471698113207547,0.562440419447092,0.547317073170732,0.52047781569966,0,0,0.63431151241535
"89",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0113299858375177,0.530131826741996,0.500943396226415,0.562440419447092,0.545365853658537,0.486348122866895,0,0,0.480812641083521
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0114587356765804,0.546139359698682,0.54622641509434,0.571020019065777,0.573658536585366,0.416382252559727,0,0,0.623024830699774
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0115874855156431,0.506591337099812,0.480188679245283,0.504289799809342,0.497560975609756,0.401023890784984,0,0,0.566591422121896
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0117162353547058,0.550847457627119,0.604716981132075,0.533841754051478,0.491707317073171,0.488054607508532,0,0,0.55530474040632
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0118449851937685,0.526365348399247,0.507547169811321,0.566253574833174,0.549268292682927,0.549488054607508,0,0,0.54627539503386
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0119737350328312,0.547080979284369,0.524528301886792,0.583412774070543,0.545365853658537,0.69453924914676,0,0,0.514672686230248
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0121024848718939,0.598870056497175,0.613207547169811,0.590085795996187,0.546341463414634,0.604095563139932,0,0,0.562076749435666
"96",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0122312347109566,0.668549905838041,0.631132075471698,0.648236415633937,0.766829268292683,0.411262798634811,0,0,0.62979683972912
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0123599845500193,0.725047080979284,0.800943396226415,0.638703527168732,0.72780487804878,0.303754266211604,1,0,0.724604966139955
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.012488734389082,0.736346516007533,0.762264150943396,0.669208770257388,0.644878048780488,0.377133105802047,0,0,0.72686230248307
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0126174842281447,0.633709981167608,0.609433962264151,0.652049571020019,0.666341463414634,0.385665529010238,0,0,0.582392776523702
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0127462340672074,0.591337099811676,0.524528301886792,0.652049571020019,0.67219512195122,0.436860068259385,0,0,0.534988713318284
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0128749839062701,0.709981167608286,0.745283018867924,0.696854146806482,0.786341463414634,0.331058020477816,0,0,0.564334085778781
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0130037337453328,0.673258003766478,0.677358490566038,0.669208770257388,0.680975609756098,0.245733788395904,0,0,0.677200902934537
"103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0131324835843955,0.595103578154426,0.558490566037736,0.617731172545281,0.602926829268293,0.534129692832765,0,0,0.523702031602709
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0132612334234582,0.630885122410546,0.641509433962264,0.638703527168732,0.59219512195122,0.513651877133105,0,0,0.693002257336343
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0133899832625209,0.603578154425612,0.541509433962264,0.63489037178265,0.591219512195122,0.445392491467576,0,0,0.656884875846501
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0135187331015836,0.500941619585687,0.509433962264151,0.514775977121068,0.505365853658537,0.508532423208191,0,0,0.372460496613995
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0136474829406463,0.464218455743879,0.443396226415094,0.495710200190658,0.478048780487805,0.641638225255972,0,0.0545454545454545,0.327313769751693
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013776232779709,0.522598870056497,0.541509433962264,0.497616777883699,0.47219512195122,0.668941979522186,0,0,0.539503386004515
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0139049826187717,0.621468926553672,0.670754716981132,0.600571973307912,0.517073170731707,0.537542662116042,0,0,0.564334085778781
"110",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0140337324578344,0.736346516007533,0.762264150943396,0.720686367969495,0.724878048780488,0.401023890784984,0,0,0.690744920993228
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0141624822968971,0.790018832391714,0.762264150943396,0.806482364156339,0.83609756097561,0.385665529010238,0,0,0.778781038374718
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0142912321359598,0.738229755178908,0.779245283018868,0.720686367969495,0.778536585365854,0.539249146757678,0,0,0.882618510158014
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0144199819750225,0.768361581920904,0.764150943396226,0.686367969494757,0.775609756097561,0.387372013651877,0,0,0.548532731376975
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0145487318140852,0.603578154425612,0.604716981132075,0.630123927550048,0.536585365853659,0.561433447098977,0,0,0.584650112866817
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0146774816531479,0.63653483992467,0.604716981132075,0.667302192564347,0.574634146341463,0.639931740614335,0,0,0.620767494356659
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0148062314922106,0.690207156308851,0.745283018867924,0.656816015252622,0.626341463414634,0.583617747440273,0,0,0.650112866817156
"117",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0149349813312733,0.706214689265537,0.711320754716981,0.720686367969495,0.6,0.568259385665529,0,0,0.740406320541761
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015063731170336,0.641242937853107,0.626415094339623,0.652049571020019,0.559024390243902,0.703071672354951,0,0,0.613995485327314
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0151924810093987,0.705273069679849,0.745283018867924,0.696854146806482,0.55609756097561,0.715017064846415,0,0,0.792325056433409
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0153212308484614,0.794726930320151,0.840566037735849,0.753098188751192,0.589268292682927,0.592150170648464,0,0,0.758465011286682
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0154499806875241,0.837099811676083,0.819811320754717,0.828408007626311,0.748292682926829,0.45221843003413,0,0,0.785553047404063
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0155787305265868,0.831450094161958,0.800943396226415,0.819828408007626,0.750243902439024,0.435153583617748,0,0,0.799097065462754
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0157074803656495,0.847457627118644,0.840566037735849,0.838894184938036,0.737560975609756,0.52047781569966,0,0,0.853273137697517
"124",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0158362302047122,0.693973634651601,0.811320754716981,0.715919923736892,0.72,0.583617747440273,0,0,0.760722347629797
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0159649800437749,0.666666666666667,0.65,0.696854146806482,0.712195121951219,0.593856655290103,0,0,0.702031602708804
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0160937298828376,0.73728813559322,0.755660377358491,0.742612011439466,0.652682926829268,0.539249146757678,0,0,0.665914221218962
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0162224797219003,0.743879472693032,0.677358490566038,0.806482364156339,0.810731707317073,0.508532423208191,0,0,0.595936794582393
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.016351229560963,0.727871939736346,0.745283018867924,0.686367969494757,0.662439024390244,0.575085324232082,0,0,0.686230248306998
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0164799794000258,0.774011299435028,0.79622641509434,0.755004766444233,0.686829268292683,0.551194539249147,0,0,0.751693002257336
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0166087292390884,0.811676082862524,0.830188679245283,0.791229742612011,0.72,0.459044368600683,0,0,0.665914221218962
"131",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0167374790781512,0.703389830508475,0.711320754716981,0.669208770257388,0.776585365853658,0.447098976109215,0,0,0.532731376975169
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0168662289172139,0.597928436911488,0.558490566037736,0.617731172545281,0.561951219512195,0.63481228668942,0,0,0.55530474040632
