"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,78,39.7,27.2,32,52,2
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,79,35.8,24.4,30,45,3
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,80,42,23.8,30.2,55.4,3
"81",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,81,52.5,28.4,41,69.1,3
"82",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,82,64.7,49.7,53.6,78.8,4
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,83,70.4,61.1,62.6,78.8,2
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,84,64.9,55.2,53.6,80.6,4
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,85,68.1,54.9,50,79,3
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,86,50.6,30.4,44.1,62.1,1
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,87,54.1,34.3,48,62.1,3
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,88,61.5,36.9,53.6,73.4,2
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,89,61.4,32.4,51.1,77,1
"90",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2001,90,75.4,52.1,64.9,84.9,4
"91",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2001,91,74.8,52.3,64,82.9,2
"92",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,92,76.5,51,66,87.1,2
"93",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2001,93,60.2,49.2,53.1,84,1
"94",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2001,94,64.8,42.3,55.9,78.1,4
"95",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2001,95,65.5,58.5,62.6,69.8,5
"96",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2001,96,68.7,45.8,57.2,82.4,3
"97",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,97,72.7,49.2,61,86,3
"98",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2001,98,61.2,55,48.2,73.4,2
"99",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2001,99,50,33,42.8,57.2,4
"100",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2001,100,58.1,39.8,51.1,68,2
"101",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,101,73.2,61.3,66,87.1,2
"102",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2001,102,70.6,52.8,62.1,81,3
"103",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2001,103,68.2,59.5,62.1,75,1
"104",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2001,104,53.2,48.8,50,59,1
"105",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2001,105,58.6,49.2,51.1,64.9,1
"106",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,106,54.9,41.4,51.1,62.1,2
"107",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2001,107,55.4,50.5,50,64.9,2
"108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2001,108,56.5,48.9,53.1,64,5
"109",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2001,109,52.9,46.2,50,57.9,1
"110",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2001,110,52.2,45,50,55.9,2
"111",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2001,111,53.4,51,48,59,3
"112",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2001,112,57.8,56.3,53.1,66.9,2
"113",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,113,60.6,55.1,55.9,68,2
"114",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2001,114,63.8,52.2,51.1,73.9,1
"115",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2001,115,69.6,53.4,57.2,80.6,2
"116",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2001,116,79.5,66.5,70,88,2
