"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","max","min","fog","NUM_REPORTS"
"88",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,0.0112026783414885,0.51078431372549,0.508956796628029,0.481880509304603,0.545094152626363,0,0.749630723781389
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,0.0113314447592068,0.527450980392157,0.539515279241307,0.528893241919687,0.554013875123885,0,0.716395864106352
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.0114602111769251,0.486274509803922,0.457323498419389,0.460333006856024,0.484638255698712,0,0.757016248153619
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.0115889775946433,0.532352941176471,0.45100105374078,0.589618021547503,0.515361744301288,0,0.728951255539143
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.0117177440123616,0.506862745098039,0.513171759747102,0.48873653281097,0.549058473736373,0,0.751846381093058
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.0118465104300798,0.52843137254902,0.508956796628029,0.506366307541626,0.566897918731417,0,0.745937961595273
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.0119752768477981,0.582352941176471,0.510010537407798,0.598432908912831,0.573835480673935,0,0.693500738552437
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.0121040432655164,0.654901960784314,0.748155953635406,0.617042115572968,0.634291377601586,0,0.772525849335303
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.0122328096832346,0.713725490196078,0.706006322444679,0.79333986287953,0.624380574826561,1,0.751107828655835
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.0123615761009529,0.725490196078431,0.616438356164383,0.753183153770813,0.65609514370664,0,0.726735598227474
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.0124903425186711,0.618627450980392,0.639620653319283,0.594515181194907,0.638255698711596,0,0.740768094534712
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.0126191089363894,0.574509803921569,0.645943097997892,0.506366307541626,0.638255698711596,0,0.742983751846381
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.0127478753541076,0.698039215686275,0.769230769230769,0.735553379040157,0.684836471754212,0,0.72082717872969
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.0128766417718259,0.659803921568627,0.655426765015806,0.665034280117532,0.65609514370664,0,0.828655834564254
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.0130054081895442,0.57843137254902,0.571127502634352,0.541625857002938,0.602576808721506,0,0.739290989660266
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.0131341746072624,0.615686274509804,0.559536354056902,0.627815866797258,0.624380574826561,0,0.747415066469719
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.0132629410249807,0.587254901960784,0.558482613277134,0.523996082272282,0.620416253716551,0,0.658050221565731
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.0133917074426989,0.480392156862745,0.465753424657534,0.490695396669932,0.495540138751239,0,0.621861152141802
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.0135204738604172,0.442156862745098,0.436248682824025,0.422135161606268,0.475718533201189,0,0.634416543574594
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.0136492402781355,0.502941176470588,0.429926238145416,0.523996082272282,0.477700693756194,0,0.740768094534712
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.0137780066958537,0.605882352941176,0.478398314014752,0.658178256611165,0.584737363726462,0,0.729689807976366
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.013906773113572,0.725490196078431,0.702845100105374,0.753183153770813,0.709613478691774,0,0.841949778434269
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.0140355395312902,0.781372549019608,0.822971548998946,0.753183153770813,0.798810703666997,0,0.764401772525849
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.0141643059490085,0.727450980392157,0.760800842992624,0.770812928501469,0.709613478691774,0,0.751846381093058
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.0142930723667268,0.758823529411765,0.757639620653319,0.755142017629775,0.673934588701685,0,0.718611521418021
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.014421838784445,0.587254901960784,0.499473129610116,0.589618021547503,0.615460852329039,0,0.708271787296898
