"","day","temp","dewp","max","min","NUM_REPORTS"
"54",6,33.6,26.8,37.4,30.2,1
"55",1,37.5,21.5,46.4,30.2,1
"56",2,40.6,24.6,50,33.1,1
"57",3,42.6,23.5,54,30.9,2
"58",5,43.9,31.6,53.1,35.1,2
"59",6,33.5,16.9,46.9,27,4
"60",7,23,10.8,28.4,19.4,2
"61",1,23.8,6.7,33.8,17.6,2
"62",3,37.3,18.9,50,28.4,2
"63",5,42.8,31.3,51.1,37,1
"64",7,40.3,26.4,48.9,30.9,4
"65",1,45,25.8,62.1,34,1
"66",2,42.4,31.7,51.8,37.4,3
"67",3,44.6,31.3,53.6,39.2,1
"68",4,50.1,31.4,63,39.9,1
"69",5,57.5,54,64.9,46,2
"70",6,63.5,50,82.9,45,1
"71",7,64.7,41.5,78.8,48.2,1
"72",2,49.3,44.3,53.6,46.4,1
"73",3,61.9,56,77,51.1,3
"74",4,58,45.2,69.8,48.2,2
"75",5,49.7,37.2,57.2,42.8,4
"76",6,53.5,36.1,66,45,2
"77",7,50.6,36,55.4,44.6,2
"78",1,39.7,27.2,52,32,2
"79",2,35.8,24.4,45,30,3
"80",3,42,23.8,55.4,30.2,3
"81",4,52.5,28.4,69.1,41,3
"82",5,64.7,49.7,78.8,53.6,4
"83",6,70.4,61.1,78.8,62.6,2
"84",7,64.9,55.2,80.6,53.6,4
"85",1,68.1,54.9,79,50,3
"86",2,50.6,30.4,62.1,44.1,1
"87",3,54.1,34.3,62.1,48,3
"88",5,61.5,36.9,73.4,53.6,2
"89",7,61.4,32.4,77,51.1,1
"90",2,75.4,52.1,84.9,64.9,4
"91",3,74.8,52.3,82.9,64,2
"92",4,76.5,51,87.1,66,2
"93",5,60.2,49.2,84,53.1,1
"94",7,64.8,42.3,78.1,55.9,4
"95",1,65.5,58.5,69.8,62.6,5
"96",3,68.7,45.8,82.4,57.2,3
"97",4,72.7,49.2,86,61,3
"98",5,61.2,55,73.4,48.2,2
"99",6,50,33,57.2,42.8,4
"100",1,58.1,39.8,68,51.1,2
"101",4,73.2,61.3,87.1,66,2
"102",5,70.6,52.8,81,62.1,3
"103",1,68.2,59.5,75,62.1,1
"104",7,53.2,48.8,59,50,1
"105",2,58.6,49.2,64.9,51.1,1
"106",4,54.9,41.4,62.1,51.1,2
"107",5,55.4,50.5,64.9,50,2
"108",6,56.5,48.9,64,53.1,5
"109",7,52.9,46.2,57.9,50,1
"110",1,52.2,45,55.9,50,2
"111",2,53.4,51,59,48,3
"112",3,57.8,56.3,66.9,53.1,2
"113",4,60.6,55.1,68,55.9,2
"114",5,63.8,52.2,73.9,51.1,1
"115",6,69.6,53.4,80.6,57.2,2
"116",1,79.5,66.5,88,70,2
"117",2,75.3,65.6,87.8,64.4,3
"118",4,84.5,67.8,93.2,75.2,4
"119",6,74.2,57.5,88,61,1
"120",7,76.5,54.4,87.8,62.6,4
"121",1,80.8,58.4,93.2,69.8,1
"122",2,80.5,62.8,90,71.1,3
"123",3,70.4,53.3,75.2,66.2,1
"124",4,65.1,52,73.9,59,3
"125",5,61.5,54.2,68,55.4,3
"126",6,63.4,52.2,73,53.1,7
"127",7,69.4,53.4,82,55.9,2
"128",1,75.5,56.4,86,64.9,1
"129",2,78.7,55.9,88,66.9,4
"130",3,78.7,57.8,88,68,2
"131",4,79.2,61.7,87.8,69.8,1
"132",5,79.4,62.5,87.8,69.8,3
"133",6,81.1,64.1,89.6,71.6,4
"134",7,71.7,57.1,87.1,60.1,1
"135",1,62.5,41.3,73.9,55.9,3
"136",3,77.8,62.1,89.6,69.8,2
"137",4,70,49.7,84,63,2
"138",5,66.6,46.6,78.8,55.4,1
"139",6,75.9,63.3,88,64.9,1
"140",7,81.1,67.3,87.8,73.4,3
"141",1,80,66.8,91,71.1,4
"142",2,81.9,63.7,89.6,71.6,6
"143",3,72.4,51.2,86,66,1
"144",5,71.8,51.2,79,64,4
"145",6,74.9,48.9,87.1,62.1,1
"146",7,78.7,52,89.1,66,1
"147",1,78.6,58.7,86,69.8,1
"148",2,80.1,65.2,87.1,75,5
"149",3,78.9,70.8,88,73,2
"150",4,80.9,71.5,90,73,5
"151",5,83.2,71.4,93.9,75,1
"152",6,84.3,72.4,91.4,78.8,2
"153",7,81.3,71.6,95,73.4,2
"154",1,79.9,71.5,93.2,73.4,8
"155",2,81,71.6,90,73,4
"156",3,74.7,68.1,86,68,3
"157",5,71.7,57,77,64.4,4
"158",6,73.9,61.3,80.6,66.2,3
"159",7,79.3,69.2,91.4,73.4,5
"160",1,79.2,70.2,89.6,71.6,1
"161",2,83.9,70.6,95,75.2,2
"162",4,80.2,72.3,89.1,73,3
"163",6,77.1,64.3,84.9,68,5
"164",7,80.2,67.1,90,70,1
"165",1,81.6,66.4,91.4,71.6,1
"166",2,84.2,71.1,95,75,1
"167",3,86.3,71.8,93.9,78.1,2
"168",4,85.8,72.1,95,77,1
"169",5,75.7,62.4,90,72,1
"170",6,73,56.8,78.8,64.4,1
"171",7,73.8,56.4,84.2,62.6,3
"172",2,69.1,49.4,77,59,1
"173",3,70,53.4,78.1,63,1
"174",4,70,63.7,73.4,66.2,3
"175",5,69.5,56.8,79,60.1,1
"176",6,68.4,60.8,73.4,64.4,6
"177",7,66.9,61.1,73.4,62.6,4
"178",1,68.7,56.6,79,59,1
"179",3,75.9,66.8,88,71.1,4
"180",4,73.5,68.6,78.1,71.1,1
"181",6,74.7,71.2,81,71.1,2
"182",7,75.2,67.3,82.4,69.8,2
"183",1,76.1,63.5,84.9,66.9,4
"184",2,74.1,60.3,80.6,66.2,1
"185",3,72.3,57,82.9,61,3
"186",4,77.4,63.5,87.1,71.1,2
"187",5,72.3,64.2,84,68,3
"188",6,64.2,49.5,68,60.1,5
"189",1,74.7,60.3,86,64,1
"190",3,68.9,57.8,78.1,61,2
"191",4,74.4,60.6,87.8,64.4,2
"192",5,77.9,69.1,89.6,69.8,4
"193",6,77.2,66.3,87.1,73,5
"194",7,69.9,63.5,75.2,60.8,2
"195",1,64.2,52.5,79,55,5
"196",2,67.6,52.8,80.1,55,3
"197",3,72.7,55.2,84,61,1
"198",5,60.1,44,64.4,55.4,6
"199",6,61.2,44.3,66.9,55,2
"200",7,62.2,47.8,71.6,53.6,2
"201",1,64.2,51.3,69.8,57.2,1
"202",2,64.1,54.2,69.8,57.2,3
"203",4,63.8,53.3,73.9,55,1
"204",5,65.5,58.8,69.8,62.6,1
"205",6,64.3,54.7,75,54,1
"206",7,64.1,56.1,72,57,4
"207",1,52.1,42.9,55.4,48.2,3
"208",2,50,34.3,57.2,42.8,4
"209",3,56.7,36.8,69.8,48.2,2
"210",4,56.1,44.7,63,46.9,2
"211",5,55.3,47.1,55.4,53.6,3
"212",6,57.7,48.4,64.9,50,3
"213",7,58.3,50.4,71.6,46.4,3
"214",1,63,50.9,78.8,51.8,2
"215",2,67.3,55.8,82.4,55.4,1
"216",3,71.6,48,80.6,64.4,7
"217",4,58.3,50.5,69.8,51.8,3
"218",5,49.5,44.1,53.6,48.2,1
"219",6,44.5,31.2,51.8,35.6,2
"220",7,42.5,26.3,53.1,32,4
"221",1,53.8,34.9,66.2,42.8,1
"222",2,63.1,45.3,73.9,55,2
"223",3,63.6,53.8,68,61,2
"224",4,59,48.9,66,53.1,2
"225",5,56.7,53.4,60.8,53.6,1
"226",6,60.7,58.2,69.8,57.2,3
"227",7,55.3,48.6,60.8,50,1
"228",1,49.5,37.7,55,44.1,6
"229",2,47.1,38.7,53.6,44.6,1
"230",3,43.6,28.5,52,35.1,2
"231",4,51.5,32.2,64.4,42.8,2
"232",5,55.3,37.8,61,48,1
"233",6,55.9,37.6,69.8,46.4,4
"234",7,59.5,46.7,66,55,3
"235",1,58.6,51.3,63,54,3
"236",2,63.9,58.4,66.2,59,1
"237",3,60.5,57.6,66,50,2
"238",4,40.7,29.3,50,36,1
"239",5,39.1,26.3,42.8,37.4,1
"240",6,40.4,23.8,46.9,37,1
"241",7,41.7,27.1,54,33.1,3
"242",1,49.3,36.3,62.1,44.1,2
"243",2,50.3,45.3,53.1,48,2
"244",3,57.6,40.6,69.1,50,4
"245",4,61.2,47.7,66.2,57.2,1
"246",5,62.7,46.2,66.9,55,1
"247",6,54,34.2,66.9,41,1
"248",7,53.1,41.1,62.6,44.6,1
"249",1,46.3,34.4,55.4,35.6,2
"250",2,49.7,32.5,63,39,1
"251",3,56.4,42.7,71.6,46.4,3
"252",4,54.4,46.9,64.9,42.1,1
"253",5,42,33.7,53.1,33.1,2
"254",6,48.8,36.2,62.6,39.2,3
"255",7,45.7,37.3,51.1,41,4
"256",1,44.4,36.6,57,35.1,3
"257",2,52.2,35.5,64.4,46.4,2
"258",3,55.8,50.1,63,51.1,5
"259",4,60.4,55.5,68,53.6,3
"260",5,56.5,53.6,64,48,1
"261",6,51.8,49.4,64.9,42.1,6
"262",7,55.1,53,64.4,50,3
"263",2,37.4,25.1,43,30,3
"264",5,52.1,38.6,60.8,48.2,3
"265",6,59.8,55.3,64.9,57,2
"266",7,48.1,44.8,60.8,44.6,4
"267",1,45.3,41.9,51.8,39.2,3
"268",3,38.5,35.5,42.8,35.6,1
"269",4,43.8,43.7,46.4,41,1
"270",5,46.4,46.4,50,43,4
"271",6,40.7,38.5,44.6,37.4,3
"272",7,40.5,37.2,54,33.1,5
"273",1,48.9,44.8,55.4,42.8,1
"274",2,57.2,52.8,64,53.1,1
"275",3,62.5,56.4,68,59,3
"276",5,42.3,39.5,46.9,35.1,1
"277",6,44.4,41.2,48.2,41,1
"278",7,34.1,26.4,43,26.1,2
"279",1,37,27.1,48.2,30.2,1
"280",2,38.1,31.7,48,28.9,1
"281",4,45.4,42.3,48.2,35.6,3
"282",6,36.6,34.5,41,33.1,3
"283",7,43,39.7,46.9,39.9,1
"284",1,45.8,42.7,46.9,41,2
"285",2,38.2,31.2,48.2,30.2,2
"286",4,33.7,17.8,42.1,28,5
"287",6,40.5,30.1,46.9,35.1,2
"288",7,32.1,24.8,48.9,24.1,1
"289",1,21,14.3,26.6,19.4,2
"290",3,14.2,8.2,17.6,10.4,1
"291",5,25.4,16.1,28.4,21.2,4
"292",7,12.7,4,19.4,6.8,3
"293",1,15.3,5.5,21.2,8.6,1
"294",2,18.1,4.8,26.6,10.4,1
"295",3,23.2,11.3,32,15.1,1
"296",4,22.1,11.6,30.2,15.8,5
"297",5,26.6,15.3,39.2,19.4,2
"298",6,33.7,22.6,37.4,28.4,3
"299",7,33.8,27.6,37.9,30.9,4
"300",1,24.4,13,32,17.1,1
"301",2,28.9,18.7,41,21.2,2
"302",3,44.9,31.5,55.9,39,3
"303",4,42.6,33.1,48.2,35.6,1
"304",5,38,27,43,33.1,1
"305",7,34.1,22,42.8,24.8,2
"306",1,37.8,29.7,41,33.8,1
"307",2,33.6,26.8,35.6,30.2,1
"308",3,31.5,23.9,35.6,28.4,2
"309",4,24,17.5,34,14,2
"310",5,19.8,10.8,25,15.1,1
"311",6,20.5,9.8,28.9,15.1,2
"312",7,29.9,23.8,37.4,24.8,1
"313",4,37.3,26.7,41,35.1,1
"314",5,37.1,20.7,51.8,28.4,3
"315",6,42.3,25.3,55.4,33.8,1
"316",1,45.5,33.9,53.6,39.2,2
"317",3,33.6,29.8,35.6,30.2,1
"318",4,32.9,30.7,33.8,30.2,1
"319",5,32.1,26.4,35.6,26.6,2
"320",6,24.2,18,34,15.1,1
"321",2,21.1,10.5,32,12.2,1
"322",6,41.5,31.6,53.6,35.6,2
"323",7,40.8,34.4,48.2,33.8,2
"324",1,30.1,18.5,35.6,21.2,2
"325",6,38.4,26.9,42.8,35.6,1
"326",7,33.9,20.4,39,28,2
"327",1,36.3,22.2,50,28.4,1
"328",3,47.2,45.9,55,39,2
"329",5,31.2,20.4,39.2,24.8,1
"330",6,34.6,24.4,46.4,26.6,1
"331",7,46.4,31.7,60.8,37.4,4
"332",1,44.4,33.4,55.9,35.1,6
"333",2,28.4,24.4,35.1,24.1,3
"334",4,23.2,12,32,15.1,1
"335",5,28.2,17.9,32,23,2
"336",1,4.7,-4.6,15.8,-4,1
"337",2,22.1,16,34,15.1,1
"338",5,51.9,46.4,63,39,1
"339",6,48.5,42,62.6,26.6,2
"340",7,23.2,7.3,28.4,15.8,1
"341",1,33.2,17.7,55.9,21.9,1
"342",2,41.1,33.3,62.1,32,1
"343",3,45.6,39.1,59,35.6,1
"344",4,51.4,42.1,64.9,39,1
"345",5,48.5,40,62.1,39,1
"346",6,36.3,27.9,41,33.1,4
"347",1,39.3,35.4,46,37,3
"348",2,40.9,36.7,48.2,35.6,1
"349",4,30.1,21,39.2,21.2,1
"350",5,23.7,5.3,37.9,15.1,5
"351",6,37.7,12.6,53.1,27,3
"352",7,37.5,26.8,48.9,32,2
"353",2,31.5,23,35.6,26.6,1
"354",3,33.9,25.4,46.4,24.8,2
"355",4,39.2,31.5,48.9,32,3
"356",5,42.6,42,46.9,37,1
"357",6,43.6,34.9,52,37,2
"358",7,41.2,31,50,32,1
"359",1,35.8,28.3,43,28,1
"360",2,39.3,38.3,46.4,33.8,3
"361",3,36.1,29.8,41,30.2,1
"362",4,34.4,26.1,37.4,30.2,4
"363",5,34,28.4,42.8,26.6,1
"364",1,50.1,49.4,55,48,1
"365",2,45.8,41.9,53.6,42.8,1
"366",3,48,34.7,64.4,37.4,1
"367",4,63.7,39.2,75.9,51.1,4
"368",6,52.8,44.9,64.4,44.6,4
"369",7,58.8,47,77,46,1
"370",1,74.4,57,87.8,64.4,2
"371",2,77.3,60.2,88,66.9,1
"372",3,75.8,60.6,84.2,66.2,2
"373",4,76.4,59.1,89.6,68,1
"374",5,65.5,51.7,82.4,51.8,3
"375",7,42.7,38.4,42.8,41,2
"376",1,40.3,35.6,44.6,37.4,1
"377",2,45.1,33.1,60.8,35.6,2
"378",3,59.2,44,73.9,50,2
"379",4,47.7,28.3,55.4,37.4,1
"380",5,44.8,26.5,51.8,37.4,2
"381",7,48.9,44,60.8,42.8,1
"382",2,54.6,34.6,57.2,51.8,1
"383",4,48.7,37,53.6,44.6,1
"384",5,47.7,28.2,53.1,39,4
"385",6,52.5,30.9,69.8,41,2
"386",7,58.5,42,68,50,1
"387",1,67,55.5,75.2,60.8,3
"388",3,53.1,47.9,62.6,44.6,2
"389",4,60,50,66.9,53.1,2
"390",5,55.2,29.1,66.2,44.6,1
"391",6,52.9,34.1,61,46,3
"392",7,50.7,49.2,57.2,46.4,1
"393",1,48.8,39.9,57.2,44.6,2
"394",2,54.5,40.8,64.9,43,3
"395",4,62.2,52.9,69.8,46.4,1
"396",5,43.5,33.8,46.9,41,1
"397",6,42.2,32.1,53.1,34,2
"398",7,46.5,34.2,54,41,4
"399",1,44.7,29.3,48.9,41,2
"400",2,45.5,28.5,57.2,35.6,3
"401",3,54.7,33.7,68,44.6,1
"402",4,62.8,45,73,55,1
"403",5,55.5,46.2,69.1,46,2
"404",7,55.9,43.8,73.9,42.1,6
"405",1,67.3,46.8,77,55.9,1
"406",2,67.5,55.3,77,60.8,1
"407",3,72.6,60.2,82.4,66.2,1
"408",6,77.6,51.3,93,64,2
"409",7,69.4,46.4,88,59,2
"410",2,65.8,61.8,72,60.1,5
"411",4,56.4,49.8,66,50,1
"412",5,64,49.6,79,53.1,2
"413",6,71.8,55.1,84,60.1,4
"414",7,76.4,56.9,88,64.9,2
"415",1,80,65.7,87.8,71.6,2
"416",2,75,68,84,71.1,2
"417",3,68.2,61.7,77,62.1,4
"418",4,60.1,55.1,64.4,57.2,3
"419",5,61.4,55,66.2,55.4,4
"420",6,64.2,53.4,78.8,55.4,2
"421",1,68.8,50.5,79,60.1,2
"422",2,65.4,54.9,84,60.1,4
"423",4,83.3,63.1,93,75,3
"424",5,81.7,65.7,90,75,2
"425",6,81.7,64.5,93.2,71.6,3
"426",7,84.4,60.7,93.2,75.2,3
"427",1,83.5,59.6,93.2,71.6,3
"428",2,81.3,67.1,87.8,75.2,1
"429",4,76.8,63.9,84.9,71.1,1
"430",5,73.9,59,84.2,64.4,1
"431",6,77.4,58.5,88,66.9,4
"432",7,83.8,69,93.2,73.4,4
"433",1,85.5,69.2,93.2,77,4
"434",2,85.5,63.3,95,77,2
"435",3,86.1,65.7,96.1,75.9,2
"436",4,83.7,69.8,91.9,78.1,5
"437",5,75.8,59,81,71.1,1
"438",6,75.2,58.1,84.9,70,3
"439",7,79.5,59.9,90,70,1
"440",1,84.3,65.3,95,75,3
"441",2,78.8,70.5,91.9,73,3
"442",3,73.5,61.2,78.8,69.8,4
"443",4,71.4,51.3,75.2,66.2,2
"444",5,71.3,52.2,78.1,63,1
"445",6,73.2,52.6,81,61,3
"446",7,75.1,50.4,88,61,4
"447",1,80.8,55.4,87.8,66.2,4
"448",2,82,61.3,91,72,2
"449",5,78.4,69.1,84,75,1
"450",7,88.2,71.8,98.6,80.6,5
"451",1,85.2,71.6,95,78.1,2
"452",2,75.7,58.5,82.4,69.8,2
"453",4,73.4,59.8,81,68,2
"454",5,79.6,69.2,87.8,73.4,3
"455",6,79.7,71.3,91.4,71.6,4
"456",7,83.7,72.5,89.1,80.1,1
"457",2,79.5,66.8,91.4,69.8,2
"458",3,84.5,65.7,96.1,75,2
"459",4,85.3,70.2,95,77,4
"460",5,79.6,65.2,89.6,73.4,4
"461",6,77.8,61.8,90,68,2
"462",7,84,70.5,89.6,80.6,5
"463",1,78.7,69.2,84.2,73.4,2
"464",2,71.2,55.2,77,66,1
"465",3,70.6,51.3,75.9,64,5
"466",4,72.5,54.4,80.6,66.2,2
"467",5,74.3,55.3,82.4,64.4,3
"468",6,78.1,57.9,89.6,66.2,2
"469",7,82.6,62.3,93.9,72,4
"470",1,80.8,65.4,91.9,71.1,3
"471",2,78.8,65.6,89.6,73.4,2
"472",3,71.8,63.5,78.1,68,1
"473",4,74.3,63.5,88,64.9,5
"474",5,77.2,67.7,84.9,73,3
"475",6,76.7,69.2,88,71.1,2
"476",7,71.4,52.5,84.9,59,1
"477",2,68.8,54.5,75.9,59,1
"478",3,76,63.6,89.1,66,1
"479",4,76.1,70.8,84.2,69.8,2
"480",6,73.4,67.1,80.6,69.8,3
"481",7,74.1,64.6,82.4,66.2,1
"482",2,76.1,63.4,84.2,69.8,2
"483",3,73.9,62.4,79,69.1,5
"484",5,75.2,59.9,82.4,66.2,4
"485",6,76.1,60.2,82.4,68,7
"486",7,77.4,62.5,87.8,69.8,5
"487",1,76.1,64.4,84,66.9,4
"488",2,77.7,58.5,82.4,71.6,1
"489",3,72.6,53.4,84.9,62.1,1
"490",5,75.4,58.7,88,64,1
"491",6,77.4,57.2,91,64,5
"492",7,79.9,60.2,93.9,68,2
"493",1,82,65.5,91.9,72,2
"494",2,80.2,64.6,91,73,2
"495",3,68.2,54.4,75.2,60.8,6
"496",4,67.5,47.5,80.1,55.9,1
"497",5,68.1,51.5,80.1,59,1
"498",6,72.4,51.9,86,61,2
"499",7,69.1,57.4,77,64.4,4
"500",2,68.5,52,80.1,57,2
"501",3,71,61.8,82.4,64.4,2
"502",4,76.6,68,82.9,73,2
"503",5,71.9,66.3,79,68,2
"504",6,68.5,55.6,81,60.1,3
"505",7,60.6,46.6,73,51.1,3
"506",1,58,37.9,71.1,46,2
"507",2,54.6,39.2,66.9,44.1,1
"508",3,60,43.4,75,48,3
"509",5,63.9,57.4,68,60.1,2
"510",6,63.2,52,75.2,51.8,1
"511",7,71.6,59.5,86,62.6,6
"512",1,75.9,55.9,86,66,1
"513",2,75.4,59.7,82.4,69.8,2
"514",3,70.1,63.6,78.1,64,1
"515",4,62.5,56.6,64.9,60.1,2
"516",5,67.8,62.3,73.4,62.6,1
"517",7,59.8,45.4,71.6,51.8,3
"518",1,50.2,32.7,59,42.8,3
"519",2,53.8,33.5,66.9,46,2
"520",3,56.6,43.1,68,48.9,3
"521",4,60.5,49.7,73.4,51.8,2
"522",5,62.8,48.5,73.4,53.6,2
"523",6,60.4,54.2,73.4,55.4,3
"524",7,47.1,31.9,55.9,39,1
"525",2,48.7,32.5,60.8,39.2,2
"526",4,42.2,32.4,44.6,37.4,1
"527",5,45.8,38.7,61,37.9,1
"528",6,49.4,36.1,59,39.9,2
"529",7,41.4,29.4,53.1,33.1,3
"530",1,46.3,32.4,57.2,39.2,1
"531",2,46.7,34.9,54,41,3
"532",5,44.3,39.9,46.9,41,1
"533",6,46.4,36.7,46.9,46,7
"534",7,42.3,32.5,46.4,37.4,3
"535",2,44.9,34.2,50,42.1,3
"536",3,44.1,34.2,46.4,42.8,1
"537",4,44,34,50,41,4
"538",5,33.7,21.6,41,26.1,1
"539",6,36.3,20.3,46.4,28.4,1
"540",7,36.9,26,44.6,28.4,1
"541",2,37.9,33.3,41,35.1,2
"542",3,39.1,33.6,42.8,35.6,2
"543",4,42.9,33.9,57.9,32,1
"544",5,54.1,37.7,64.4,46.4,2
"545",6,57.4,46.5,63,53.1,1
"546",7,60.3,55,62.6,55.4,2
"547",1,41.4,35.7,55.4,35.6,1
"548",2,40.2,31.5,44.1,39,1
"549",3,43.2,31.8,55.9,35.1,1
"550",4,51.6,36.6,55.4,42.8,1
"551",5,39.7,31.8,43,37,1
"552",6,35.4,23,37.4,33.8,2
"553",7,33.7,25.2,39,30,1
"554",1,34.7,25.9,45,28,5
"555",2,43.7,34,53.6,33.8,4
"556",4,42.4,35.2,48.2,35.6,1
"557",5,35.5,23.6,39,32,2
"558",6,36.4,25.9,46.9,28,2
"559",7,36.7,24.9,42.1,30,2
"560",1,27.1,19.1,30.2,21.2,1
"561",3,24.4,17.8,30.9,16,1
"562",5,39,27.8,46.4,30.2,1
"563",7,22.5,5,36,14,1
"564",1,33.1,22.5,35.6,26.6,2
"565",2,23.1,13.6,28.9,17.1,2
"566",3,23.2,14.2,28.4,19.4,4
"567",4,24.2,14.4,28.4,19.4,3
"568",5,19.3,10.6,30.9,10,3
"569",6,32.6,23.5,42.8,28.4,3
"570",7,28.2,15.5,37,23,2
"571",1,22.1,8.9,30.9,15.1,1
"572",2,32.2,15.6,44.6,24.8,3
"573",3,33.6,17.4,44.6,26.6,4
"574",4,34.3,26.1,39.9,30,2
"575",5,36.9,33,39.9,34,3
"576",6,35.6,30.6,39.9,30.9,2
"577",7,37.5,29.3,46.4,33.8,2
"578",1,32.5,21.9,39.2,30.2,3
"579",2,31.5,22.1,35.6,28.4,5
"580",3,45.8,43,55,33.1,1
"581",4,47.1,41.2,55.4,39.2,1
"582",5,35.1,26.4,39.9,32,1
"583",6,32.1,22.9,35.6,30.2,3
"584",7,29.3,20.6,32,25,1
"585",1,28.3,16.1,33.8,24.8,4
"586",2,27.1,18.7,30.2,21.2,3
"587",3,27.9,22.5,30.9,26.1,4
"588",4,23.9,18,26.6,19.4,2
"589",5,22.5,17.7,30.2,17.6,1
"590",1,47.4,42.3,60.8,35.6,3
"591",2,37.4,24.9,55.9,32,1
"11000",1,20.7,13.9,26.6,14,2
"21000",4,26.5,22.8,28.9,23,2
"31000",5,32.8,25.7,37.4,26.6,1
"41000",6,26.8,19,35.6,19.4,4
"5136",7,31.1,25,35.6,26.6,1
"6100",2,19.2,11.2,25,12,2
"7100",3,24.7,17.2,35.6,19.4,2
"8100",4,30.4,22.9,39.9,24.1,5
"9100",5,31.5,27.4,37,28,1
"10100",6,34.5,31,37.4,33.8,1
"11100",7,35.5,31.1,37.9,33.1,2
"12100",1,35.1,33.4,37.4,33.8,1
"13100",2,31,26.9,34,28,3
"14100",4,23.8,20.1,32,19,1
"15100",5,27.3,21.4,30.2,24.8,1
"16100",6,21.6,13.5,26.6,19.4,2
"17100",7,18.3,10.8,28,12,3
"18100",1,21.3,14.4,30.2,15.8,1
"19100",4,22.1,12,27,15.1,1
"20100",6,25.1,17.2,32,19,1
"21100",7,20,12,28.9,15.1,1
"22100",1,32.7,30.3,39.2,26.6,1
"23100",2,37.7,35.5,43,33.1,2
"24100",3,34.4,30.9,36,33.1,1
"25100",4,28.8,21.9,34,21.9,1
"26100",5,8.6,-0.2,26.6,-0.4,1
"27100",6,18,11,30.2,10.4,1
"28100",1,30.3,25.9,34,28,1
"29100",5,48.4,47,53.6,32,4
"30100",7,19,8.7,28.4,14,2
"31100",1,30.2,19.6,39.2,24.8,1
"32100",3,36.6,34.6,37.9,33.1,2
"33100",4,31.3,25.3,34,30,2
"34100",5,30.9,23.5,33.8,26.6,1
"35100",7,16.9,2.8,28.4,8.6,1
"36100",2,35.3,24.4,39.2,28.4,1
"37100",4,23.1,16.1,28.4,17.6,1
"38100",5,25.5,16,28.9,18,2
"39100",6,33.4,28.4,39.9,26.1,3
"40100",7,43.6,37.5,57.2,30.2,1
"41100",2,29.3,16.1,37.4,24.8,1
"42100",3,21,-0.6,28.9,12.2,1
"43100",4,28.7,12.3,42.8,21.2,2
"44100",6,36.4,28.5,48.2,26.6,3
"45100",7,33,25.2,39.2,28.4,2
"46100",1,26.1,12.3,30,19,1
"47100",3,32.6,18.3,46,23,1
"48100",4,31.8,21.4,37.9,30,1
"49100",5,31.6,18.4,39.2,24.8,1
"50100",6,35.6,21.6,50,24.8,5
"51100",7,37.4,26.9,48,30,1
"52100",1,38.6,32.7,48.2,30.2,1
"53100",2,38,31,50,32,1
"54100",6,33.6,26.8,37.4,30.2,1
"55100",1,37.5,21.5,46.4,30.2,1
"56100",2,40.6,24.6,50,33.1,1
"5712",3,42.6,23.5,54,30.9,2
"5810",5,43.9,31.6,53.1,35.1,2
"5910",6,33.5,16.9,46.9,27,4
"6010",7,23,10.8,28.4,19.4,2
