"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,34.9,52,37.9,120
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34.8,22.1,50,30.9,133
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,31.4,25.2,37,30,110
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32.4,21.6,39,25,91
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.7,34.3,43,25,110
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39.7,28.4,46,35.1,98
"83",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,30.8,16.8,46,25,107
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29.2,10.7,37,21,116
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34.9,19.8,48.9,21,124
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,49.1,31,64,28,121
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,50.1,35.7,64,37,112
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.9,36.2,73.9,41,140
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60.6,43.2,73.9,41,120
"90",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,31.8,68,39,125
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.9,24.1,61,30.9,127
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.3,23.8,68,48,149
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,33.2,69.1,46.9,116
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43.6,39,46.9,41,92
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.2,44.2,54,39.9,112
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54.6,51.3,73.9,43,96
"97",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.5,41.6,73.9,42.1,99
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.5,33.7,64.9,39,123
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.8,32.1,71.1,39,166
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.3,40.4,71.1,46.9,119
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.2,24.9,69.1,46,118
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,26.8,66.9,44.1,131
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54.8,37.9,66.9,44.1,111
"104",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62.4,45.9,80.1,46.9,111
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62.3,43.8,80.1,48.9,135
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.5,38.3,69.1,50,145
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50.8,44.9,69.1,46.9,125
