"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"5156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.857142857142857,0.85183887915937,0.797528517110266,0.832167832167832,0.757045675413022,0.792452830188679,0.333333333333333
"5157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.857142857142857,0.852014010507881,0.697718631178707,0.675324675324675,0.710398445092323,0.670754716981132,0.222222222222222
"5158",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,0.852189141856392,0.678707224334601,0.621378621378621,0.690962099125364,0.660377358490566,0
"5159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.857142857142857,0.852364273204904,0.755703422053232,0.743256743256743,0.757045675413022,0.800943396226415,0
"5160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.857142857142857,0.852539404553415,0.836501901140684,0.871128871128871,0.844509232264334,0.830188679245283,0.222222222222222
"5161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.857142857142857,0.852714535901926,0.75,0.81018981018981,0.767735665694849,0.734905660377358,0
"5162",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.857142857142857,0.852889667250438,0.758555133079848,0.795204795204795,0.748299319727891,0.774528301886792,0
"5163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.857142857142857,0.853064798598949,0.770912547528517,0.759240759240759,0.778425655976676,0.764150943396226,0.111111111111111
"5164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.857142857142857,0.853239929947461,0.781368821292776,0.824175824175824,0.835762876579203,0.716037735849057,0.111111111111111
"5165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.857142857142857,0.853415061295972,0.783269961977186,0.656343656343656,0.757045675413022,0.792452830188679,0
"5166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.857142857142857,0.853590192644483,0.779467680608365,0.704295704295704,0.785228377065112,0.755660377358491,0.111111111111111
"5167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.857142857142857,0.853765323992995,0.679657794676806,0.701298701298701,0.699708454810496,0.670754716981132,0.111111111111111
"5168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.857142857142857,0.853940455341506,0.759505703422053,0.81018981018981,0.797862001943635,0.734905660377358,0.222222222222222
"5169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.857142857142857,0.854115586690018,0.688212927756654,0.795204795204795,0.748299319727891,0.670754716981132,0.333333333333333
"5170",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,0.854290718038529,0.687262357414449,0.767232767232767,0.737609329446064,0.660377358490566,0
"5171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.857142857142857,0.85446584938704,0.737642585551331,0.795204795204795,0.748299319727891,0.764150943396226,0
"5172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.857142857142857,0.854640980735552,0.759505703422053,0.811188811188811,0.757045675413022,0.734905660377358,0.111111111111111
"5173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.857142857142857,0.854816112084063,0.692965779467681,0.792207792207792,0.732750242954325,0.679245283018868,0
"5174",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.857142857142857,0.854991243432574,0.717680608365019,0.709290709290709,0.710398445092323,0.69811320754717,0.333333333333333
