"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.3,23.8,68,48,220
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,33.2,69.1,46.9,163
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.2,44.2,54,39.9,140
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54.6,51.3,73.9,43,147
"91",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.5,41.6,73.9,42.1,147
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.5,33.7,64.9,39,196
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.8,32.1,71.1,39,234
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.3,40.4,71.1,46.9,190
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.2,24.9,69.1,46,209
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,26.8,66.9,44.1,192
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54.8,37.9,66.9,44.1,185
"98",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62.4,45.9,80.1,46.9,201
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62.3,43.8,80.1,48.9,205
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.5,38.3,69.1,50,208
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50.8,44.9,69.1,46.9,184
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.6,29.3,57.9,41,154
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.2,23.6,46.9,37,178
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.5,22.5,55.9,34,186
"105",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.5,24,60.1,34,205
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.9,39.3,60.1,35.1,176
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.1,30.3,57,39,227
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49.1,31.6,57,39,208
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.1,34.3,60.1,37.9,201
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.3,35.4,64,37.9,191
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,34.8,64,42.1,158
"112",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,52.2,38,64.9,39.9,229
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,64.9,38.4,79,39.9,225
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,70.1,42.9,82,53.1,265
"115",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,67.8,55,82,60.1,248
"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56.1,48.3,73.9,52,176
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60.1,53.5,82,51.1,176
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71.2,52.9,87.1,51.1,248
"119",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,73.9,61.8,87.1,57,226
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,60.4,56.3,68,51.8,196
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,50.3,46.9,66.9,46.9,210
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,59.9,54.5,71.1,46.9,211
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,54.2,39.5,71.1,50,196
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49.6,35.3,57.9,45,200
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55.3,40.4,69.1,45,183
"126",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,67.6,58.2,79,46,243
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,72.9,63.9,82,60.1,283
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,74.9,66.4,84,66.9,267
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,74.6,59.6,84,66.9,214
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51.4,37.4,63,48,185
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,46.2,30.9,54,43,198
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,54.7,37.9,70,43,191
"133",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,60.5,37.5,70,46.9,209
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,65.7,37.6,82.9,50,208
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,68.8,51.7,82.9,53.1,220
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,74.3,63.4,81,62.1,229
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,73.3,64.3,81,68,229
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,70.9,60.2,77,66.9,196
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,72,55.7,84,60.1,229
"140",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,75.7,62.5,84,60.1,212
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,66,60.4,84,48.9,192
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,48.7,42.8,55.9,44.1,185
"143",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,53.5,42.4,62.1,44.1,228
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,58,42.8,71.1,45,221
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,65.3,50.1,79,45,193
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71,58,82,55,171
"147",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,66.8,57.6,82,59,191
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.4,51.4,73,54,194
